,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,updated_on
2025-01-23,0.0,0.0,18.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-02-03
2025-01-24,0.0,0.0,6.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-02-03
2025-01-25,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-02-03
2025-01-26,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-02-03
2025-01-27,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-02-03
2025-01-28,0.0,0.0,15.0,1.0,1.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,0,17.0,2025-02-10
2025-01-29,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,0,17.0,2025-02-10
2025-01-30,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,0,17.0,2025-02-10
2025-01-31,1.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,0,17.0,2025-02-10
2025-02-01,1.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,0,17.0,2025-02-10
2025-02-02,1.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,0,17.0,2025-02-10
2025-02-03,3.0,3.0,70.0,1.0,1.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,0,17.0,2025-02-10
2025-02-04,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,0,17.0,2025-02-10
2025-02-05,1.0,1.0,13.0,1.0,1.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,0,17.0,2025-02-10
2025-02-06,0.0,0.0,6.0,2.0,1.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,0,17.0,2025-02-10
2025-02-07,2.0,2.0,8.0,2.0,1.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,0,17.0,2025-02-10
2025-02-08,4.0,4.0,2.0,1.0,1.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,0,17.0,2025-02-10
2025-02-09,1.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,0,17.0,2025-02-10
2025-02-10,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,0,17.0,2025-02-10
